sentimen,tweet,tweet_lowercase,tweet_tokenized,tweet_stemmed,tweet_process
negatif,gaji bakal seluruhnya disumbang kerakyat wkwk jaman purba,gaji bakal seluruhnya disumbang kerakyat wkwk jaman purba,"['gaji', 'bakal', 'seluruhnya', 'disumbang', 'kerakyat', 'wkwk', 'jaman', 'purba']","['gaji', 'bakal', 'seluruh', 'sumbang', 'rakyat', 'wkwk', 'jaman', 'purba']",gaji bakal seluruh sumbang rakyat wkwk jaman purba
positif,Pembahasan perekonomian yg digagas Prabowo sandi menurunkan tarif2 harga yg kian meroket menjadi stabil... Itu yg aku tunggu..,Pembahasan perekonomian yg digagas Prabowo sandi menurunkan tarif2 harga yg kian meroket menjadi stabil... Itu yg aku tunggu..,"['Pembahasan', 'perekonomian', 'yg', 'digagas', 'Prabowo', 'sandi', 'menurunkan', 'tarif', '2', 'harga', 'yg', 'kian', 'meroket', 'menjadi', 'stabil', '...', 'Itu', 'yg', 'aku', 'tunggu', '..']","['bahas', 'ekonomi', 'yg', 'gagas', 'prabowo', 'sandi', 'turun', 'tarif', '2', 'harga', 'yg', 'kian', 'roket', 'jadi', 'stabil', '', 'itu', 'yg', 'aku', 'tunggu', '']",bahas ekonomi yg gagas prabowo sandi turun tarif  harga yg kian roket jadi stabil  itu yg aku tunggu 
positif,"Itu bisnis hardware, bukan esport. Kalau kita pengekspor hardware seperti itu gw dukung, tapi ini kita sebagai user, pengaruh kepada ke ekonomian kita nggak ada seujung jari.","Itu bisnis hardware, bukan esport. Kalau kita pengekspor hardware seperti itu gw dukung, tapi ini kita sebagai user, pengaruh kepada ke ekonomian kita nggak ada seujung jari.","['Itu', 'bisnis', 'hardware', ',', 'bukan', 'esport', '.', 'Kalau', 'kita', 'pengekspor', 'hardware', 'seperti', 'itu', 'gw', 'dukung', ',', 'tapi', 'ini', 'kita', 'sebagai', 'user', ',', 'pengaruh', 'kepada', 'ke', 'ekonomian', 'kita', 'nggak', 'ada', 'seujung', 'jari', '.']","['itu', 'bisnis', 'hardware', '', 'bukan', 'esport', '', 'kalau', 'kita', 'ekspor', 'hardware', 'seperti', 'itu', 'gw', 'dukung', '', 'tapi', 'ini', 'kita', 'bagai', 'user', '', 'pengaruh', 'kepada', 'ke', 'ekonomi', 'kita', 'nggak', 'ada', 'ujung', 'jari', '']",itu bisnis hardware  bukan esport  kalau kita ekspor hardware seperti itu gw dukung  tapi ini kita bagai user  pengaruh kepada ke ekonomi kita nggak ada ujung jari 
netral,"Tak Ambil Gaji Jika Menang Pilpres, Prabowo-Sandi Ikuti Sederet Presiden Terkenal #Prabowo  http://www.rmoljakarta.com/read/2019/04/14/56505/Tak-Ambil-Gaji-Jika-Menang-Pilpres,-Prabowo-Sandi-Ikuti-Sederet-Presiden-Terkenal-Â â€¦","Tak Ambil Gaji Jika Menang Pilpres, Prabowo-Sandi Ikuti Sederet Presiden Terkenal #Prabowo  http://www.rmoljakarta.com/read/2019/04/14/56505/Tak-Ambil-Gaji-Jika-Menang-Pilpres,-Prabowo-Sandi-Ikuti-Sederet-Presiden-Terkenal-Â â€¦","['Tak', 'Ambil', 'Gaji', 'Jika', 'Menang', 'Pilpres', ',', 'Prabowo-Sandi', 'Ikuti', 'Sederet', 'Presiden', 'Terkenal', '#Prabowo', 'http://www.rmoljakarta.com/read/2019/04/14/56505/Tak-Ambil-Gaji-Jika-Menang-Pilpres,-Prabowo-Sandi-Ikuti-Sederet-Presiden-Terkenal-Â', 'â', '€', '¦']","['tak', 'ambil', 'gaji', 'jika', 'menang', 'pilpres', '', 'prabowo-sandi', 'ikut', 'deret', 'presiden', 'kenal', 'prabowo', 'http www rmoljakarta com read 2019 04 14 56505 tak-ambil-gaji-jika-menang-pilpres -prabowo-sandi-ikuti-sederet-presiden-terkenal-', '', '', '']",tak ambil gaji jika menang pilpres  prabowosandi ikut deret presiden kenal prabowo http www rmoljakarta com read     takambilgajijikamenangpilpres prabowosandiikutisederetpresidenterkenal   
negatif,Emg bisa ya saksi menghalangi??? Dia bukannya cmn ngejelasin aja? Yg menentukan boleh tidaknya kan panitianya? Gmn shi? Apa kami pikir itu panitianya digaji @prabowo ya bukan digaji @jokowi ? ðŸ¤¦ðŸ»â€â™‚ï¸ðŸ˜…ðŸ¤£ðŸ¤£ðŸ¤£,Emg bisa ya saksi menghalangi??? Dia bukannya cmn ngejelasin aja? Yg menentukan boleh tidaknya kan panitianya? Gmn shi? Apa kami pikir itu panitianya digaji @prabowo ya bukan digaji @jokowi ? ðŸ¤¦ðŸ»â€â™‚ï¸ðŸ˜…ðŸ¤£ðŸ¤£ðŸ¤£,"['Emg', 'bisa', 'ya', 'saksi', 'menghalangi', '?', '?', '?', 'Dia', 'bukannya', 'cmn', 'ngejelasin', 'aja', '?', 'Yg', 'menentukan', 'boleh', 'tidaknya', 'kan', 'panitianya', '?', 'Gmn', 'shi', '?', 'Apa', 'kami', 'pikir', 'itu', 'panitianya', 'digaji', '@prabowo', 'ya', 'bukan', 'digaji', '@jokowi', '?', 'ðŸ', '¤', '¦', 'ðŸ', '\x8f', '»', 'â', '€', '\x8d', 'â', '™', '‚', 'ï', '¸', '\x8f', 'ðŸ', '˜', '…', 'ðŸ', '¤', '£', 'ðŸ', '¤', '£', 'ðŸ', '¤', '£']","['emg', 'bisa', 'ya', 'saksi', 'halang', '', '', '', 'dia', 'bukan', 'cmn', 'ngejelasin', 'aja', '', 'yg', 'tentu', 'boleh', 'tidak', 'kan', 'panitia', '', 'gmn', 'shi', '', 'apa', 'kami', 'pikir', 'itu', 'panitia', 'gaji', 'prabowo', 'ya', 'bukan', 'gaji', 'jokowi', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",emg bisa ya saksi halang    dia bukan cmn ngejelasin aja  yg tentu boleh tidak kan panitia  gmn shi  apa kami pikir itu panitia gaji prabowo ya bukan gaji jokowi                            
netral,Kan Pak bowo sdh ungkap semlm waktu debat.ini salah kelola perekonomian presiden2 sebelumnya.bukan salah Pak Jokowi kata Pak Bowo.,Kan Pak bowo sdh ungkap semlm waktu debat.ini salah kelola perekonomian presiden2 sebelumnya.bukan salah Pak Jokowi kata Pak Bowo.,"['Kan', 'Pak', 'bowo', 'sdh', 'ungkap', 'semlm', 'waktu', 'debat.ini', 'salah', 'kelola', 'perekonomian', 'presiden', '2', 'sebelumnya.bukan', 'salah', 'Pak', 'Jokowi', 'kata', 'Pak', 'Bowo', '.']","['kan', 'pak', 'bowo', 'sdh', 'ungkap', 'semlm', 'waktu', 'debat ini', 'salah', 'kelola', 'ekonomi', 'presiden', '2', 'belum bukan', 'salah', 'pak', 'jokowi', 'kata', 'pak', 'bowo', '']",kan pak bowo sdh ungkap semlm waktu debat ini salah kelola ekonomi presiden  belum bukan salah pak jokowi kata pak bowo 
netral,"Arah Perekonomian Indonesia Salah, Kata Prabowo - Warta Ekonomi  https://www.wartaekonomi.co.id/read223690/arah-perekonomian-indonesia-salah-kata-prabowo.htmlÂ â€¦","Arah Perekonomian Indonesia Salah, Kata Prabowo - Warta Ekonomi  https://www.wartaekonomi.co.id/read223690/arah-perekonomian-indonesia-salah-kata-prabowo.htmlÂ â€¦","['Arah', 'Perekonomian', 'Indonesia', 'Salah', ',', 'Kata', 'Prabowo', '-', 'Warta', 'Ekonomi', 'https://www.wartaekonomi.co.id/read223690/arah-perekonomian-indonesia-salah-kata-prabowo.htmlÂ', 'â', '€', '¦']","['arah', 'ekonomi', 'indonesia', 'salah', '', 'kata', 'prabowo', '-', 'warta', 'ekonomi', 'https www wartaekonomi co id read223690 arah-perekonomian-indonesia-salah-kata-prabowo html', '', '', '']",arah ekonomi indonesia salah  kata prabowo  warta ekonomi  www wartaekonomi co id read arahperekonomianindonesiasalahkataprabowo html   
positif,"Ternyata ga cuma aku ya yg terheran2. Coba lihat video closing statement Tusuk Prabowo Sandi masa ngomongnya enak bener ""kalau pgn harga sembako murah tusuk P-S, kalau tdk pgn impor2 tusuk P-S"" kayanya sorga bgt dah haha takut aja ntar kaya di Venezuela","Ternyata ga cuma aku ya yg terheran2. Coba lihat video closing statement Tusuk Prabowo Sandi masa ngomongnya enak bener ""kalau pgn harga sembako murah tusuk P-S, kalau tdk pgn impor2 tusuk P-S"" kayanya sorga bgt dah haha takut aja ntar kaya di Venezuela","['Ternyata', 'ga', 'cuma', 'aku', 'ya', 'yg', 'terheran', '2', '.', 'Coba', 'lihat', 'video', 'closing', 'statement', 'Tusuk', 'Prabowo', 'Sandi', 'masa', 'ngomongnya', 'enak', 'bener', '""', 'kalau', 'pgn', 'harga', 'sembako', 'murah', 'tusuk', 'P-S', ',', 'kalau', 'tdk', 'pgn', 'impor', '2', 'tusuk', 'P-S', '""', 'kayanya', 'sorga', 'bgt', 'dah', 'haha', 'takut', 'aja', 'ntar', 'kaya', 'di', 'Venezuela']","['nyata', 'ga', 'cuma', 'aku', 'ya', 'yg', 'heran', '2', '', 'coba', 'lihat', 'video', 'closing', 'statement', 'tusuk', 'prabowo', 'sandi', 'masa', 'ngomongnya', 'enak', 'bener', '', 'kalau', 'pgn', 'harga', 'sembako', 'murah', 'tusuk', 'p-s', '', 'kalau', 'tdk', 'pgn', 'impor', '2', 'tusuk', 'p-s', '', 'kaya', 'sorga', 'bgt', 'dah', 'haha', 'takut', 'aja', 'ntar', 'kaya', 'di', 'venezuela']",nyata ga cuma aku ya yg heran   coba lihat video closing statement tusuk prabowo sandi masa ngomongnya enak bener  kalau pgn harga sembako murah tusuk ps  kalau tdk pgn impor  tusuk ps  kaya sorga bgt dah haha takut aja ntar kaya di venezuela
negatif,"Mereka bhkan kalah dari cina soal ekonomi,sama dgan korut soal persenjataan,,arttinya lae ku,sehebat apa pun pemimpin negara kita ini,orang miskin tidak akan bisa di hilangkan..","Mereka bhkan kalah dari cina soal ekonomi,sama dgan korut soal persenjataan,,arttinya lae ku,sehebat apa pun pemimpin negara kita ini,orang miskin tidak akan bisa di hilangkan..","['Mereka', 'bhkan', 'kalah', 'dari', 'cina', 'soal', 'ekonomi', ',', 'sama', 'dgan', 'korut', 'soal', 'persenjataan', ',', ',', 'arttinya', 'lae', 'ku', ',', 'sehebat', 'apa', 'pun', 'pemimpin', 'negara', 'kita', 'ini', ',', 'orang', 'miskin', 'tidak', 'akan', 'bisa', 'di', 'hilangkan', '..']","['mereka', 'bhkan', 'kalah', 'dari', 'cina', 'soal', 'ekonomi', '', 'sama', 'dgan', 'korut', 'soal', 'senjata', '', '', 'arttinya', 'lae', 'ku', '', 'hebat', 'apa', 'pun', 'pimpin', 'negara', 'kita', 'ini', '', 'orang', 'miskin', 'tidak', 'akan', 'bisa', 'di', 'hilang', '']",mereka bhkan kalah dari cina soal ekonomi  sama dgan korut soal senjata   arttinya lae ku  hebat apa pun pimpin negara kita ini  orang miskin tidak akan bisa di hilang 
negatif,"Ketika Prabowo bilang agar contoh Cina. Sepertinya ingin buruhnya kerja 12 jam sehari, libur cuma hari minggu. Trus gaji buruhnya ga dibayar. Seperti nasib 1.400 buruhnya yg gajinya terkatung-katung bertahun-tahun.  https://finance.detik.com/berita-ekonomi-bisnis/d-4510088/selain-kerja-12-jamhari-karyawan-jack-ma-cuma-libur-1-harimingguÂ â€¦","Ketika Prabowo bilang agar contoh Cina. Sepertinya ingin buruhnya kerja 12 jam sehari, libur cuma hari minggu. Trus gaji buruhnya ga dibayar. Seperti nasib 1.400 buruhnya yg gajinya terkatung-katung bertahun-tahun.  https://finance.detik.com/berita-ekonomi-bisnis/d-4510088/selain-kerja-12-jamhari-karyawan-jack-ma-cuma-libur-1-harimingguÂ â€¦","['Ketika', 'Prabowo', 'bilang', 'agar', 'contoh', 'Cina', '.', 'Sepertinya', 'ingin', 'buruhnya', 'kerja', '12', 'jam', 'sehari', ',', 'libur', 'cuma', 'hari', 'minggu', '.', 'Trus', 'gaji', 'buruhnya', 'ga', 'dibayar', '.', 'Seperti', 'nasib', '1.400', 'buruhnya', 'yg', 'gajinya', 'terkatung-katung', 'bertahun-tahun', '.', 'https://finance.detik.com/berita-ekonomi-bisnis/d-4510088/selain-kerja-12-jamhari-karyawan-jack-ma-cuma-libur-1-harimingguÂ', 'â', '€', '¦']","['ketika', 'prabowo', 'bilang', 'agar', 'contoh', 'cina', '', 'seperti', 'ingin', 'buruh', 'kerja', '12', 'jam', 'hari', '', 'libur', 'cuma', 'hari', 'minggu', '', 'trus', 'gaji', 'buruh', 'ga', 'bayar', '', 'seperti', 'nasib', '1 400', 'buruh', 'yg', 'gaji', 'katung', 'tahun', '', 'https finance detik com berita-ekonomi-bisnis d-4510088 selain-kerja-12-jamhari-karyawan-jack-ma-cuma-libur-1-hariminggu', '', '', '']",ketika prabowo bilang agar contoh cina  seperti ingin buruh kerja  jam hari  libur cuma hari minggu  trus gaji buruh ga bayar  seperti nasib   buruh yg gaji katung tahun   finance detik com beritaekonomibisnis d selainkerjajamharikaryawanjackmacumaliburhariminggu   
negatif,Debat terdahulu jebakannya unicorn sekarang mau jebak Prabowo dgn Mobile Legend..Please apa gak ada lg pertanyaan seputar ekonomi kerakyatan..Hobi banget nih orang main jebak jebakan..Jadi gak respect gw #UASdifitnahKejiDanBrutal,Debat terdahulu jebakannya unicorn sekarang mau jebak Prabowo dgn Mobile Legend..Please apa gak ada lg pertanyaan seputar ekonomi kerakyatan..Hobi banget nih orang main jebak jebakan..Jadi gak respect gw #UASdifitnahKejiDanBrutal,"['Debat', 'terdahulu', 'jebakannya', 'unicorn', 'sekarang', 'mau', 'jebak', 'Prabowo', 'dgn', 'Mobile', 'Legend', '..', 'Please', 'apa', 'gak', 'ada', 'lg', 'pertanyaan', 'seputar', 'ekonomi', 'kerakyatan', '..', 'Hobi', 'banget', 'nih', 'orang', 'main', 'jebak', 'jebakan', '..', 'Jadi', 'gak', 'respect', 'gw', '#UASdifitnahKejiDanBrutal']","['debat', 'dahulu', 'jebak', 'unicorn', 'sekarang', 'mau', 'jebak', 'prabowo', 'dgn', 'mobile', 'legend', '', 'please', 'apa', 'gak', 'ada', 'lg', 'tanya', 'putar', 'ekonomi', 'rakyat', '', 'hobi', 'banget', 'nih', 'orang', 'main', 'jebak', 'jebak', '', 'jadi', 'gak', 'respect', 'gw', 'uasdifitnahkejidanbrutal']",debat dahulu jebak unicorn sekarang mau jebak prabowo dgn mobile legend  please apa gak ada lg tanya putar ekonomi rakyat  hobi banget nih orang main jebak jebak  jadi gak respect gw uasdifitnahkejidanbrutal
positif,Pasti...TPS (tusuk Prabowo sandi ) NKRI harga mati...!!!,Pasti...TPS (tusuk Prabowo sandi ) NKRI harga mati...!!!,"['Pasti', '...', 'TPS', '(', 'tusuk', 'Prabowo', 'sandi', ')', 'NKRI', 'harga', 'mati', '...', '!', '!', '!']","['pasti', '', 'tps', '', 'tusuk', 'prabowo', 'sandi', '', 'nkri', 'harga', 'mati', '', '', '', '']",pasti  tps  tusuk prabowo sandi  nkri harga mati    
positif,"SUDAH WAKTUNYA GANTI PEMIMPIN, KARENA KAMI BUTUH PERUBAHAN , 5 TAHUN PAK JOKOWI MEMANG MEMBANGUN , TETAPI SDM MALAH MENURUN DAN KURANG DALAM EKONOMI PENDAPATAN PERKAVITA RAKYAT JELATA , WAKTUNYA GANTI PEMIMPIN , WAKTUNYA PERUBAHAN.  pic.twitter.com/SqZayZnPuO","SUDAH WAKTUNYA GANTI PEMIMPIN, KARENA KAMI BUTUH PERUBAHAN , 5 TAHUN PAK JOKOWI MEMANG MEMBANGUN , TETAPI SDM MALAH MENURUN DAN KURANG DALAM EKONOMI PENDAPATAN PERKAVITA RAKYAT JELATA , WAKTUNYA GANTI PEMIMPIN , WAKTUNYA PERUBAHAN.  pic.twitter.com/SqZayZnPuO","['SUDAH', 'WAKTUNYA', 'GANTI', 'PEMIMPIN', ',', 'KARENA', 'KAMI', 'BUTUH', 'PERUBAHAN', ',', '5', 'TAHUN', 'PAK', 'JOKOWI', 'MEMANG', 'MEMBANGUN', ',', 'TETAPI', 'SDM', 'MALAH', 'MENURUN', 'DAN', 'KURANG', 'DALAM', 'EKONOMI', 'PENDAPATAN', 'PERKAVITA', 'RAKYAT', 'JELATA', ',', 'WAKTUNYA', 'GANTI', 'PEMIMPIN', ',', 'WAKTUNYA', 'PERUBAHAN', '.', 'pic.twitter.com/SqZayZnPuO']","['sudah', 'waktu', 'ganti', 'pimpin', '', 'karena', 'kami', 'butuh', 'ubah', '', '5', 'tahun', 'pak', 'jokowi', 'memang', 'bangun', '', 'tetapi', 'sdm', 'malah', 'turun', 'dan', 'kurang', 'dalam', 'ekonomi', 'dapat', 'perkavita', 'rakyat', 'jelata', '', 'waktu', 'ganti', 'pimpin', '', 'waktu', 'ubah', '', 'pic twitter com sqzayznpuo']",sudah waktu ganti pimpin  karena kami butuh ubah   tahun pak jokowi memang bangun  tetapi sdm malah turun dan kurang dalam ekonomi dapat perkavita rakyat jelata  waktu ganti pimpin  waktu ubah  pic twitter com sqzayznpuo
positif,Alhamdulillah bang sandi. Semoga bisa memimpin negeri ini bersama pak Prabowo. Kami dukung kebijakan pak Prabowo bersama bang Sandi dalam memperbaiki ekonomi yg terpuruk dalam 4 tahun terakhir.  Salam dari kami Agung S AnfaunnaS (Surabaya),Alhamdulillah bang sandi. Semoga bisa memimpin negeri ini bersama pak Prabowo. Kami dukung kebijakan pak Prabowo bersama bang Sandi dalam memperbaiki ekonomi yg terpuruk dalam 4 tahun terakhir.  Salam dari kami Agung S AnfaunnaS (Surabaya),"['Alhamdulillah', 'bang', 'sandi', '.', 'Semoga', 'bisa', 'memimpin', 'negeri', 'ini', 'bersama', 'pak', 'Prabowo', '.', 'Kami', 'dukung', 'kebijakan', 'pak', 'Prabowo', 'bersama', 'bang', 'Sandi', 'dalam', 'memperbaiki', 'ekonomi', 'yg', 'terpuruk', 'dalam', '4', 'tahun', 'terakhir', '.', 'Salam', 'dari', 'kami', 'Agung', 'S', 'AnfaunnaS', '(', 'Surabaya', ')']","['alhamdulillah', 'bang', 'sandi', '', 'moga', 'bisa', 'pimpin', 'negeri', 'ini', 'sama', 'pak', 'prabowo', '', 'kami', 'dukung', 'bijak', 'pak', 'prabowo', 'sama', 'bang', 'sandi', 'dalam', 'baik', 'ekonomi', 'yg', 'puruk', 'dalam', '4', 'tahun', 'akhir', '', 'salam', 'dari', 'kami', 'agung', 's', 'anfaunnas', '', 'surabaya', '']",alhamdulillah bang sandi  moga bisa pimpin negeri ini sama pak prabowo  kami dukung bijak pak prabowo sama bang sandi dalam baik ekonomi yg puruk dalam  tahun akhir  salam dari kami agung s anfaunnas  surabaya 
positif,Jokowi dan sepakbola indonesia satu tujuan.  Indonesia dihargai negara lain,Jokowi dan sepakbola indonesia satu tujuan.  Indonesia dihargai negara lain,"['Jokowi', 'dan', 'sepakbola', 'indonesia', 'satu', 'tujuan', '.', 'Indonesia', 'dihargai', 'negara', 'lain']","['jokowi', 'dan', 'sepakbola', 'indonesia', 'satu', 'tuju', '', 'indonesia', 'harga', 'negara', 'lain']",jokowi dan sepakbola indonesia satu tuju  indonesia harga negara lain
positif,Semoga Pak Prabowo jadi Presiden.. agar ekonomi bisa maju dan Dunia Perawat menjadi lebih baik,Semoga Pak Prabowo jadi Presiden.. agar ekonomi bisa maju dan Dunia Perawat menjadi lebih baik,"['Semoga', 'Pak', 'Prabowo', 'jadi', 'Presiden', '..', 'agar', 'ekonomi', 'bisa', 'maju', 'dan', 'Dunia', 'Perawat', 'menjadi', 'lebih', 'baik']","['moga', 'pak', 'prabowo', 'jadi', 'presiden', '', 'agar', 'ekonomi', 'bisa', 'maju', 'dan', 'dunia', 'awat', 'jadi', 'lebih', 'baik']",moga pak prabowo jadi presiden  agar ekonomi bisa maju dan dunia awat jadi lebih baik
netral,"Pernyataan Prabowo Subianto dalam debat capres tadi malam, yang menyebutkan penanganan ekonomi adalah kesalahan presiden sebelumnya, dijadikan bumerang oleh TKN Jokowi-Ma'ruf.  http://news.rakyatku.com/read/147459/2019/04/14/erick-thohir-ungkit-pernyataan-prabowo-andi-arief-sby-tak-marah-kok-pak-erick-Â â€¦","Pernyataan Prabowo Subianto dalam debat capres tadi malam, yang menyebutkan penanganan ekonomi adalah kesalahan presiden sebelumnya, dijadikan bumerang oleh TKN Jokowi-Ma'ruf.  http://news.rakyatku.com/read/147459/2019/04/14/erick-thohir-ungkit-pernyataan-prabowo-andi-arief-sby-tak-marah-kok-pak-erick-Â â€¦","['Pernyataan', 'Prabowo', 'Subianto', 'dalam', 'debat', 'capres', 'tadi', 'malam', ',', 'yang', 'menyebutkan', 'penanganan', 'ekonomi', 'adalah', 'kesalahan', 'presiden', 'sebelumnya', ',', 'dijadikan', 'bumerang', 'oleh', 'TKN', ""Jokowi-Ma'ruf"", '.', 'http://news.rakyatku.com/read/147459/2019/04/14/erick-thohir-ungkit-pernyataan-prabowo-andi-arief-sby-tak-marah-kok-pak-erick-Â', 'â', '€', '¦']","['nyata', 'prabowo', 'subianto', 'dalam', 'debat', 'capres', 'tadi', 'malam', '', 'yang', 'sebut', 'tangan', 'ekonomi', 'adalah', 'salah', 'presiden', 'belum', '', 'jadi', 'bumerang', 'oleh', 'tkn', 'jokowi-ma ruf', '', 'http news rakyat com read 147459 2019 04 14 erick-thohir-ungkit-pernyataan-prabowo-andi-arief-sby-tak-marah-kok-pak-erick-', '', '', '']",nyata prabowo subianto dalam debat capres tadi malam  yang sebut tangan ekonomi adalah salah presiden belum  jadi bumerang oleh tkn jokowima ruf  http news rakyat com read     erickthohirungkitpernyataanprabowoandiariefsbytakmarahkokpakerick   
negatif,"Bagi Jokowi, rakyat indonesia sudah makmur, ekonomi naik 5% itu suatu prestasi luar biasa alias meroket Tapi yg bikin saya bingung kenapa mesti keluar kartu kartu lagi ðŸ˜‚ðŸ˜‚ðŸ˜‚","Bagi Jokowi, rakyat indonesia sudah makmur, ekonomi naik 5% itu suatu prestasi luar biasa alias meroket Tapi yg bikin saya bingung kenapa mesti keluar kartu kartu lagi ðŸ˜‚ðŸ˜‚ðŸ˜‚","['Bagi', 'Jokowi', ',', 'rakyat', 'indonesia', 'sudah', 'makmur', ',', 'ekonomi', 'naik', '5', '%', 'itu', 'suatu', 'prestasi', 'luar', 'biasa', 'alias', 'meroket', 'Tapi', 'yg', 'bikin', 'saya', 'bingung', 'kenapa', 'mesti', 'keluar', 'kartu', 'kartu', 'lagi', 'ðŸ', '˜', '‚', 'ðŸ', '˜', '‚', 'ðŸ', '˜', '‚']","['bagi', 'jokowi', '', 'rakyat', 'indonesia', 'sudah', 'makmur', '', 'ekonomi', 'naik', '5', '', 'itu', 'suatu', 'prestasi', 'luar', 'biasa', 'alias', 'roket', 'tapi', 'yg', 'bikin', 'saya', 'bingung', 'kenapa', 'mesti', 'keluar', 'kartu', 'kartu', 'lagi', '', '', '', '', '', '', '', '', '']",bagi jokowi  rakyat indonesia sudah makmur  ekonomi naik   itu suatu prestasi luar biasa alias roket tapi yg bikin saya bingung kenapa mesti keluar kartu kartu lagi         
netral,Gaji ditransfer aja. Hemat ongkos. ðŸ˜,Gaji ditransfer aja. Hemat ongkos. ðŸ˜,"['Gaji', 'ditransfer', 'aja', '.', 'Hemat', 'ongkos', '.', 'ðŸ', '˜', '\x81']","['gaji', 'transfer', 'aja', '', 'hemat', 'ongkos', '', '', '', '']",gaji transfer aja  hemat ongkos    
positif,Bahas harga pisang yang naik turun,Bahas harga pisang yang naik turun,"['Bahas', 'harga', 'pisang', 'yang', 'naik', 'turun']","['bahas', 'harga', 'pisang', 'yang', 'naik', 'turun']",bahas harga pisang yang naik turun
negatif,"Tidak dapat membedakan mana uang rakyat untuk gaji yang dimakan anak istrinya dengan syahwat seolah akan berkuasa selamanya, ingat : ITUPUN KAN BERLALU","Tidak dapat membedakan mana uang rakyat untuk gaji yang dimakan anak istrinya dengan syahwat seolah akan berkuasa selamanya, ingat : ITUPUN KAN BERLALU","['Tidak', 'dapat', 'membedakan', 'mana', 'uang', 'rakyat', 'untuk', 'gaji', 'yang', 'dimakan', 'anak', 'istrinya', 'dengan', 'syahwat', 'seolah', 'akan', 'berkuasa', 'selamanya', ',', 'ingat', ':', 'ITUPUN', 'KAN', 'BERLALU']","['tidak', 'dapat', 'beda', 'mana', 'uang', 'rakyat', 'untuk', 'gaji', 'yang', 'makan', 'anak', 'istri', 'dengan', 'syahwat', 'olah', 'akan', 'kuasa', 'lama', '', 'ingat', '', 'itu', 'kan', 'lalu']",tidak dapat beda mana uang rakyat untuk gaji yang makan anak istri dengan syahwat olah akan kuasa lama  ingat  itu kan lalu
negatif,"Terus pencabutan subsidi tu kmana larinya ??? pembangunan infrastruktur kan hasil ngutang,ekonomi yg ktanya meroket nyatanya macet,yg jelas dipake korupsi partai pendukung khususnya PDIP,salut buat loe yg g perlu subsidi,tapi apakah rakyat Indonesia setara sama loe ekonominya ???","Terus pencabutan subsidi tu kmana larinya ??? pembangunan infrastruktur kan hasil ngutang,ekonomi yg ktanya meroket nyatanya macet,yg jelas dipake korupsi partai pendukung khususnya PDIP,salut buat loe yg g perlu subsidi,tapi apakah rakyat Indonesia setara sama loe ekonominya ???","['Terus', 'pencabutan', 'subsidi', 'tu', 'kmana', 'larinya', '?', '?', '?', 'pembangunan', 'infrastruktur', 'kan', 'hasil', 'ngutang', ',', 'ekonomi', 'yg', 'ktanya', 'meroket', 'nyatanya', 'macet', ',', 'yg', 'jelas', 'dipake', 'korupsi', 'partai', 'pendukung', 'khususnya', 'PDIP', ',', 'salut', 'buat', 'loe', 'yg', 'g', 'perlu', 'subsidi', ',', 'tapi', 'apakah', 'rakyat', 'Indonesia', 'setara', 'sama', 'loe', 'ekonominya', '?', '?', '?']","['terus', 'cabut', 'subsidi', 'tu', 'kmana', 'lari', '', '', '', 'bangun', 'infrastruktur', 'kan', 'hasil', 'ngutang', '', 'ekonomi', 'yg', 'ktanya', 'roket', 'nyata', 'macet', '', 'yg', 'jelas', 'dipake', 'korupsi', 'partai', 'dukung', 'khusus', 'pdip', '', 'salut', 'buat', 'loe', 'yg', 'g', 'perlu', 'subsidi', '', 'tapi', 'apakah', 'rakyat', 'indonesia', 'tara', 'sama', 'loe', 'ekonomi', '', '', '']",terus cabut subsidi tu kmana lari    bangun infrastruktur kan hasil ngutang  ekonomi yg ktanya roket nyata macet  yg jelas dipake korupsi partai dukung khusus pdip  salut buat loe yg g perlu subsidi  tapi apakah rakyat indonesia tara sama loe ekonomi   
