sentimen,tweet,tweet_tokenized,tweet_no_stopwords,tweet_stemmed,tweet_process
netral,kaderkader partai demokrat walkout setelah prabowo menyalahkan presidenpresiden sebelum jokowi sebagai yang bertanggung jawab pada kesalahan kebijakan ekonomi  ,"['kader-kader', 'partai', 'demokrat', 'walkout', 'setelah', 'prabowo', 'menyalahkan', 'presiden-presiden', 'sebelum', 'jokowi', 'sebagai', 'yang', 'bertanggung', 'jawab', 'pada', 'kesalahan', 'kebijakan', 'ekonomi', '.', 'https://nasional.tempo.co/read/1195503/kata-demokrat-prabowo-salahkan-presiden-presiden-sebelum-jokowi?utm_source=digital%20marketing&utm_medium=facebook&utm_campaign=dlvritâ', 'â', '€', '¦']","['kader-kader', 'partai', 'demokrat', 'walkout', 'prabowo', 'menyalahkan', 'presiden-presiden', 'jokowi', 'bertanggung', 'kesalahan', 'kebijakan', 'ekonomi', '.', 'https://nasional.tempo.co/read/1195503/kata-demokrat-prabowo-salahkan-presiden-presiden-sebelum-jokowi?utm_source=digital%20marketing&utm_medium=facebook&utm_campaign=dlvritâ', 'â', '€', '¦']","['kader', 'partai', 'demokrat', 'walkout', 'prabowo', 'salah', 'presiden', 'jokowi', 'tanggung', 'salah', 'bijak', 'ekonomi', '', 'https nasional tempo co read 1195503 kata-demokrat-prabowo-salahkan-presiden-presiden-sebelum-jokowi utm source digital 20marketing utm medium facebook utm campaign dlvrit', '', '', '']",kader partai demokrat walkout prabowo salah presiden jokowi tanggung salah bijak ekonomi  https nasional tempo co read 1195503 kata-demokrat-prabowo-salahkan-presiden-presiden-sebelum-jokowi utm source digital 20marketing utm medium facebook utm campaign dlvrit   
negatif,gak ambil gaji tapi perusahaanya siap menguadai proyek besar  kepadasobat sekalian jangan golput ya ke tps pilih jokowi selamatkan bangsa kita  ,"['gak', 'ambil', 'gaji', ',', 'tapi', 'perusahaanya', 'siap', 'menguadai', 'proyek', '2', 'besar', 'ðÿ', '˜', '‚', 'ðÿ', '˜', '‚', 'ðÿ', '˜', '‚', 'kepada', ',', 'sobat', '2', 'sekalian', ',', 'jangan', 'golput', 'ya', ',', 'ke', 'tps', 'pilih', 'jokowi', '.', 'selamatkan', 'bangsa', 'kita', '...', 'ðÿ', '˜', '‚', 'ðÿ', '˜', '‚', 'ðÿ', '˜', '‚', 'https://news.detik.com/berita/d-4509660/janji-tak-ambil-gaji-jika-menang-pilpres-prabowo-bukti-kita-tulus?utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=facebook#echobox=1555173787â', 'â', '€', '¦']","['gak', 'ambil', 'gaji', ',', 'perusahaanya', 'menguadai', 'proyek', '2', 'ðÿ', '˜', '‚', 'ðÿ', '˜', '‚', 'ðÿ', '˜', '‚', ',', 'sobat', '2', ',', 'golput', 'ya', ',', 'tps', 'pilih', 'jokowi', '.', 'selamatkan', 'bangsa', '...', 'ðÿ', '˜', '‚', 'ðÿ', '˜', '‚', 'ðÿ', '˜', '‚', 'https://news.detik.com/berita/d-4509660/janji-tak-ambil-gaji-jika-menang-pilpres-prabowo-bukti-kita-tulus?utm_term=echobox&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikcom&utm_source=facebook#echobox=1555173787â', 'â', '€', '¦']","['gak', 'ambil', 'gaji', '', 'perusahaanya', 'menguadai', 'proyek', '2', '', '', '', '', '', '', '', '', '', '', 'sobat', '2', '', 'golput', 'ya', '', 'tps', 'pilih', 'jokowi', '', 'selamat', 'bangsa', '', '', '', '', '', '', '', '', '', '', 'https news detik com berita d-4509660 janji-tak-ambil-gaji-jika-menang-pilpres-prabowo-bukti-kita-tulus utm term echobox utm campaign detikcomsocmed utm medium oa utm content detikcom utm source facebook echobox 1555173787', '', '', '']",gak ambil gaji  perusahaanya menguadai proyek 2           sobat 2  golput ya  tps pilih jokowi  selamat bangsa           https news detik com berita d-4509660 janji-tak-ambil-gaji-jika-menang-pilpres-prabowo-bukti-kita-tulus utm term echobox utm campaign detikcomsocmed utm medium oa utm content detikcom utm source facebook echobox 1555173787   
positif,pak sandi memikirkan ekonomi satu dan dua orang saja yg mengeluh kalau ia berkunjung tapi bapak jokowi memikirkan ekonomi nusantara,"['pak', 'sandi', 'memikirkan', 'ekonomi', 'satu', 'dan', 'dua', 'orang', 'saja', ',', 'yg', 'mengeluh', 'kalau', 'ia', 'berkunjung', ',', 'tapi', 'bapak', 'jokowi', 'memikirkan', 'ekonomi', 'nusantara', ',']","['sandi', 'memikirkan', 'ekonomi', 'orang', ',', 'yg', 'mengeluh', 'berkunjung', ',', 'jokowi', 'memikirkan', 'ekonomi', 'nusantara', ',']","['sandi', 'pikir', 'ekonomi', 'orang', '', 'yg', 'keluh', 'kunjung', '', 'jokowi', 'pikir', 'ekonomi', 'nusantara', '']",sandi pikir ekonomi orang  yg keluh kunjung  jokowi pikir ekonomi nusantara 
positif,pak jokowi mampu memberikan banyak kemajuan untuk indonesia seperti inflasi yang terus terjaga perbankan yang cukup sehat hingga perekonomian yang mampu bersaing di dunia,"['pak', 'jokowi', 'mampu', 'memberikan', 'banyak', 'kemajuan', 'untuk', 'indonesia', 'seperti', 'inflasi', 'yang', 'terus', 'terjaga', ',', 'perbankan', 'yang', 'cukup', 'sehat', 'hingga', 'perekonomian', 'yang', 'mampu', 'bersaing', 'di', 'dunia', '.']","['jokowi', 'kemajuan', 'indonesia', 'inflasi', 'terjaga', ',', 'perbankan', 'sehat', 'perekonomian', 'bersaing', 'dunia', '.']","['jokowi', 'maju', 'indonesia', 'inflasi', 'jaga', '', 'perban', 'sehat', 'ekonomi', 'saing', 'dunia', '']",jokowi maju indonesia inflasi jaga  perban sehat ekonomi saing dunia 
netral,jokowi  tahun pemerintah kerja keras lakukan  hal dukung ekonomi digital bukansalahbapak jokowimenangtotaldebat terimakasihistriku prabowosalahkansby pictwittercomdkewxziv,"['jokowi', ':', '4,5', 'tahun', 'pemerintah', 'kerja', 'keras', 'lakukan', '3', 'hal', 'dukung', 'ekonomi', 'digital', '#bukansalahbapak', '#jokowimenangtotaldebat', '#terimakasihistriku', '#prabowosalahkansby', 'pic.twitter.com/d0k1ewxziv']","['jokowi', ':', '4,5', 'pemerintah', 'kerja', 'keras', 'lakukan', '3', 'dukung', 'ekonomi', 'digital', '#bukansalahbapak', '#jokowimenangtotaldebat', '#terimakasihistriku', '#prabowosalahkansby', 'pic.twitter.com/d0k1ewxziv']","['jokowi', '', '4 5', 'perintah', 'kerja', 'keras', 'laku', '3', 'dukung', 'ekonomi', 'digital', 'bukansalahbapak', 'jokowimenangtotaldebat', 'terimakasihistriku', 'prabowosalahkansby', 'pic twitter com d0k1ewxziv']",jokowi  4 5 perintah kerja keras laku 3 dukung ekonomi digital bukansalahbapak jokowimenangtotaldebat terimakasihistriku prabowosalahkansby pic twitter com d0k1ewxziv
negatif,pak jokowi yg terhormat april kan libur nasional kepres nya kan begitutp d tempat kerja saya masih masuk kerjakalau gak masuk kerja pada  april akan di potong gaji kitatolonglah tindak tegas bagi pengusaha pengusaha yg tdk taat kepresdan tolong lindungi hak kita pak,"['pak', 'jokowi', 'yg', 'terhormat', ',', '17', 'april', 'kan', 'libur', 'nasional', ',', 'kepres', 'nya', 'kan', 'begitu', ',', 'tp', 'd', 'tempat', 'kerja', 'saya', 'masih', 'masuk', 'kerja', ',', 'kalau', 'gak', 'masuk', 'kerja', 'pada', '17', 'april', 'akan', 'di', 'potong', 'gaji', 'kita', ',', 'tolonglah', 'tindak', 'tegas', 'bagi', 'pengusaha', 'pengusaha', 'yg', 'tdk', 'taat', 'kepres', ',', 'dan', 'tolong', 'lindungi', 'hak', 'kita', 'pak', '.']","['jokowi', 'yg', 'terhormat', ',', '17', 'april', 'libur', 'nasional', ',', 'kepres', 'nya', ',', 'tp', 'd', 'kerja', 'masuk', 'kerja', ',', 'gak', 'masuk', 'kerja', '17', 'april', 'potong', 'gaji', ',', 'tolonglah', 'tindak', 'pengusaha', 'pengusaha', 'yg', 'tdk', 'taat', 'kepres', ',', 'tolong', 'lindungi', 'hak', '.']","['jokowi', 'yg', 'hormat', '', '17', 'april', 'libur', 'nasional', '', 'pres', 'nya', '', 'tp', 'd', 'kerja', 'masuk', 'kerja', '', 'gak', 'masuk', 'kerja', '17', 'april', 'potong', 'gaji', '', 'tolong', 'tindak', 'usaha', 'usaha', 'yg', 'tdk', 'taat', 'pres', '', 'tolong', 'lindung', 'hak', '']",jokowi yg hormat  17 april libur nasional  pres nya  tp d kerja masuk kerja  gak masuk kerja 17 april potong gaji  tolong tindak usaha usaha yg tdk taat pres  tolong lindung hak 
negatif,maaf sekadar mengingatkan baoak sendiri yang menargetkan tumbahtumbuh pertumbuhan ekonomi  seperti janji jokowi akan terwujud di   ,"['maaf', ',', 'sekadar', 'mengingatkan', '.', 'baoak', 'sendiri', 'yang', 'menargetkan', 'tumbah-tumbuh', '.', 'pertumbuhan', 'ekonomi', '7', '%', 'seperti', 'janji', 'jokowi', 'akan', 'terwujud', 'di', '2017', 'https://finance.detik.com/berita-ekonomi-bisnis/d-2781264/pertumbuhan-ekonomi-7-seperti-janji-jokowi-akan-terwujud-di-2017â', 'â', '€', '¦']","['maaf', ',', '.', 'baoak', 'menargetkan', 'tumbah-tumbuh', '.', 'pertumbuhan', 'ekonomi', '7', '%', 'janji', 'jokowi', 'terwujud', '2017', 'https://finance.detik.com/berita-ekonomi-bisnis/d-2781264/pertumbuhan-ekonomi-7-seperti-janji-jokowi-akan-terwujud-di-2017â', 'â', '€', '¦']","['maaf', '', '', 'baoak', 'target', 'tumbah-tumbuh', '', 'tumbuh', 'ekonomi', '7', '', 'janji', 'jokowi', 'wujud', '2017', 'https finance detik com berita-ekonomi-bisnis d-2781264 pertumbuhan-ekonomi-7-seperti-janji-jokowi-akan-terwujud-di-2017', '', '', '']",maaf   baoak target tumbah-tumbuh  tumbuh ekonomi 7  janji jokowi wujud 2017 https finance detik com berita-ekonomi-bisnis d-2781264 pertumbuhan-ekonomi-7-seperti-janji-jokowi-akan-terwujud-di-2017   
negatif,digaji oleh rakyat bukan nya kerja yang bener malah jadi timses ,"['digaji', 'oleh', 'rakyat', 'bukan', 'nya', 'kerja', 'yang', 'bener', 'malah', 'jadi', 'timses', 'ðÿ', '˜', '‚']","['digaji', 'rakyat', 'nya', 'kerja', 'bener', 'timses', 'ðÿ', '˜', '‚']","['gaji', 'rakyat', 'nya', 'kerja', 'bener', 'timses', '', '', '']",gaji rakyat nya kerja bener timses   
netral,tak cuma syok ekonomi tax ratio kilat ala prabowo keliru  ,"['tak', 'cuma', 'syok', 'ekonomi', ',', 'tax', 'ratio', 'kilat', 'ala', 'prabowo', 'keliru', 'http://cnn.id/386187?utm_source=twitter&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmedâ', 'â', '€', '¦']","['syok', 'ekonomi', ',', 'tax', 'ratio', 'kilat', 'ala', 'prabowo', 'keliru', 'http://cnn.id/386187?utm_source=twitter&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmedâ', 'â', '€', '¦']","['syok', 'ekonomi', '', 'tax', 'ratio', 'kilat', 'ala', 'prabowo', 'keliru', 'http cnn id 386187 utm source twitter utm medium oa utm content cnnindonesia utm campaign cmssocmed', '', '', '']",syok ekonomi  tax ratio kilat ala prabowo keliru http cnn id 386187 utm source twitter utm medium oa utm content cnnindonesia utm campaign cmssocmed   
netral,video janji prabowosandi tak ambil gaji bila menang  ,"['video', ':', 'janji', 'prabowo-sandi', 'tak', 'ambil', 'gaji', 'bila', 'menang', 'https://m.cnnindonesia.com/nasional/20190413224550-36-386123/video-janji-prabowo-sandi-tak-ambil-gaji-bila-menang?utm_source=facebook&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmedâ', 'â', '€', '¦']","['video', ':', 'janji', 'prabowo-sandi', 'ambil', 'gaji', 'menang', 'https://m.cnnindonesia.com/nasional/20190413224550-36-386123/video-janji-prabowo-sandi-tak-ambil-gaji-bila-menang?utm_source=facebook&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmedâ', 'â', '€', '¦']","['video', '', 'janji', 'prabowo-sandi', 'ambil', 'gaji', 'menang', 'https m cnnindonesia com nasional 20190413224550-36-386123 video-janji-prabowo-sandi-tak-ambil-gaji-bila-menang utm source facebook utm medium oa utm content cnnindonesia utm campaign cmssocmed', '', '', '']",video  janji prabowo-sandi ambil gaji menang https m cnnindonesia com nasional 20190413224550-36-386123 video-janji-prabowo-sandi-tak-ambil-gaji-bila-menang utm source facebook utm medium oa utm content cnnindonesia utm campaign cmssocmed   
negatif, dermawan yg ente tujukin tiganya wong cina aseng jg yg dibanggakan bukan anti aseng  mereka pengusaha sukses tdk punya kredit macet beda dgn apa yg di katakan prabowo sandi apa bila jd presiden gajinya yg diderma,"['3', 'dermawan', 'yg', 'ente', 'tujukin', 'tiganya', 'wong', 'cina', ',', 'aseng', 'jg', 'yg', 'dibanggakan', 'bukan', 'anti', 'aseng', '#02', ',', 'mereka', 'pengusaha', 'sukses', 'tdk', 'punya', 'kredit', 'macet', ',', 'beda', 'dgn', 'apa', 'yg', 'di', 'katakan', 'prabowo', 'sandi', 'apa', 'bila', 'jd', 'presiden', 'gajinya', 'yg', 'diderma', '.']","['3', 'dermawan', 'yg', 'ente', 'tujukin', 'tiganya', 'cina', ',', 'aseng', 'jg', 'yg', 'dibanggakan', 'anti', 'aseng', '#02', ',', 'pengusaha', 'sukses', 'tdk', 'kredit', 'macet', ',', 'beda', 'dgn', 'yg', 'prabowo', 'sandi', 'jd', 'presiden', 'gajinya', 'yg', 'diderma', '.']","['3', 'dermawan', 'yg', 'ente', 'tujukin', 'tiga', 'cina', '', 'aseng', 'jg', 'yg', 'bangga', 'anti', 'aseng', '02', '', 'usaha', 'sukses', 'tdk', 'kredit', 'macet', '', 'beda', 'dgn', 'yg', 'prabowo', 'sandi', 'jd', 'presiden', 'gaji', 'yg', 'derma', '']",3 dermawan yg ente tujukin tiga cina  aseng jg yg bangga anti aseng 02  usaha sukses tdk kredit macet  beda dgn yg prabowo sandi jd presiden gaji yg derma 
negatif,gaji nggak diambil tapi tunjangan di ambil  walah walah ,"['gaji', 'nggak', 'diambil', ',', 'tapi', 'tunjangan', 'di', 'ambil', '.', 'walah', 'walah', '. ..']","['gaji', 'nggak', 'diambil', ',', 'tunjangan', 'ambil', '.', 'walah', 'walah', '. ..']","['gaji', 'nggak', 'ambil', '', 'tunjang', 'ambil', '', 'walah', 'walah', '']",gaji nggak ambil  tunjang ambil  walah walah 
netral,tkn soal wo demokrat prabowo bagian inti orba yang merusak  cnn indonesia tkn menanggapi pernyataan prabowo yang menyalahkan para presiden sebelum jokowi soalperekonomian indonesia pernyataan itu berujung walk out petinggi demokrat   pictwittercommrmnqeymeo,"['tkn', 'soal', 'wo', 'demokrat', ':', 'prabowo', 'bagian', 'inti', 'orba', 'yang', 'merusak', '-', 'cnn', 'indonesia', ':', 'tkn', 'menanggapi', 'pernyataan', 'prabowo', 'yang', 'menyalahkan', 'para', 'presiden', 'sebelum', 'jokowi', 'soalâ', 'perekonomian', 'indonesia', '.', 'pernyataan', 'itu', 'berujung', 'walk', 'out', 'petinggi', 'demokrat', '.', 'http://dlvr.it/r2nlj7â', 'pic.twitter.com/mrmnqeymeo']","['tkn', 'wo', 'demokrat', ':', 'prabowo', 'inti', 'orba', 'merusak', '-', 'cnn', 'indonesia', ':', 'tkn', 'menanggapi', 'pernyataan', 'prabowo', 'menyalahkan', 'presiden', 'jokowi', 'soalâ', 'perekonomian', 'indonesia', '.', 'pernyataan', 'berujung', 'walk', 'out', 'petinggi', 'demokrat', '.', 'http://dlvr.it/r2nlj7â', 'pic.twitter.com/mrmnqeymeo']","['tkn', 'wo', 'demokrat', '', 'prabowo', 'inti', 'orba', 'rusak', '-', 'cnn', 'indonesia', '', 'tkn', 'tanggap', 'nyata', 'prabowo', 'salah', 'presiden', 'jokowi', 'soal', 'ekonomi', 'indonesia', '', 'nyata', 'ujung', 'walk', 'out', 'petinggi', 'demokrat', '', 'http dlvr it r2nlj7', 'pic twitter com mrmnqeymeo']",tkn wo demokrat  prabowo inti orba rusak - cnn indonesia  tkn tanggap nyata prabowo salah presiden jokowi soal ekonomi indonesia  nyata ujung walk out petinggi demokrat  http dlvr it r2nlj7 pic twitter com mrmnqeymeo
netral,loh coba ulang lagi debatnya pak jokowi kan ingin tau gmn pandangan pak prabowo terhadap pengembangan ekonomi digital dlm hal ini ya esport  emang ada dibilang mana prioritas mana yg engga,"['loh', '..', 'coba', 'ulang', 'lagi', 'debatnya', 'pak', 'jokowi', 'kan', 'ingin', 'tau', 'gmn', 'pandangan', 'pak', 'prabowo', 'terhadap', 'pengembangan', 'ekonomi', 'digital', ',', 'dlm', 'hal', 'ini', 'ya', 'esport', 'emang', 'ada', 'dibilang', 'mana', 'prioritas', 'mana', 'yg', 'engga', '?', '?']","['loh', '..', 'coba', 'ulang', 'debatnya', 'jokowi', 'tau', 'gmn', 'pandangan', 'prabowo', 'pengembangan', 'ekonomi', 'digital', ',', 'dlm', 'ya', 'esport', 'emang', 'dibilang', 'prioritas', 'yg', 'engga', '?', '?']","['loh', '', 'coba', 'ulang', 'debat', 'jokowi', 'tau', 'gmn', 'pandang', 'prabowo', 'kembang', 'ekonomi', 'digital', '', 'dlm', 'ya', 'esport', 'emang', 'bilang', 'prioritas', 'yg', 'engga', '', '']",loh  coba ulang debat jokowi tau gmn pandang prabowo kembang ekonomi digital  dlm ya esport emang bilang prioritas yg engga  
netral,janji tak ambil gaji jika terpilih prabowosandi ikuti jejak para presiden terkenal ini   via ,"['janji', 'tak', 'ambil', 'gaji', 'jika', 'terpilih', ',', 'prabowo-sandi', 'ikuti', 'jejak', 'para', 'presiden', 'terkenal', 'ini', 'http://www.repelita.com/janji-tak-ambil-gaji-jika-terpilih-prabowo-sandi-ikuti-jejak-para-presiden-terkenal-ini/â', 'â', '€', '¦', 'via', '@repelitaonline']","['janji', 'ambil', 'gaji', 'terpilih', ',', 'prabowo-sandi', 'ikuti', 'jejak', 'presiden', 'terkenal', 'http://www.repelita.com/janji-tak-ambil-gaji-jika-terpilih-prabowo-sandi-ikuti-jejak-para-presiden-terkenal-ini/â', 'â', '€', '¦', 'via', '@repelitaonline']","['janji', 'ambil', 'gaji', 'pilih', '', 'prabowo-sandi', 'ikut', 'jejak', 'presiden', 'kenal', 'http www repelita com janji-tak-ambil-gaji-jika-terpilih-prabowo-sandi-ikuti-jejak-para-presiden-terkenal-ini', '', '', '', 'via', 'repelitaonline']",janji ambil gaji pilih  prabowo-sandi ikut jejak presiden kenal http www repelita com janji-tak-ambil-gaji-jika-terpilih-prabowo-sandi-ikuti-jejak-para-presiden-terkenal-ini    via repelitaonline
negatif,boss ga usah ngomong soal yg ente ga kuasain sori bahasa ente bloon  mau soal bumn data pengangguran ekonomi apalagi politik pasal karet aja lo ga ngerti siapa yg buat bisa diterapin apa gak kalo ada uu dan delik aduan ada uu bisa jalan ehh lo bilang otoriter dongok,"['boss', '..', 'ga', 'usah', 'ngomong', 'soal', 'yg', 'ente', 'ga', 'kuasain', '..', 'sori', 'bahasa', 'ente', 'bloon', '..', 'mau', 'soal', 'bumn', ',', 'data', ',', 'pengangguran', ',', 'ekonomi', 'apalagi', 'politik', '.', 'pasal', 'karet', 'aja', 'lo', 'ga', 'ngerti', 'siapa', 'yg', 'buat', 'bisa', 'diterapin', 'apa', 'gak', '..', 'kalo', 'ada', 'uu', 'dan', 'delik', 'aduan', 'ada', ',', 'uu', 'bisa', 'jalan', 'ehh', 'lo', 'bilang', 'otoriter', 'dongok', '!']","['boss', '..', 'ga', 'ngomong', 'yg', 'ente', 'ga', 'kuasain', '..', 'sori', 'bahasa', 'ente', 'bloon', '..', 'bumn', ',', 'data', ',', 'pengangguran', ',', 'ekonomi', 'politik', '.', 'pasal', 'karet', 'aja', 'lo', 'ga', 'ngerti', 'yg', 'diterapin', 'gak', '..', 'kalo', 'uu', 'delik', 'aduan', ',', 'uu', 'jalan', 'ehh', 'lo', 'bilang', 'otoriter', 'dongok', '!']","['boss', '', 'ga', 'ngomong', 'yg', 'ente', 'ga', 'kuasain', '', 'sori', 'bahasa', 'ente', 'bloon', '', 'bumn', '', 'data', '', 'anggur', '', 'ekonomi', 'politik', '', 'pasal', 'karet', 'aja', 'lo', 'ga', 'ngerti', 'yg', 'diterapin', 'gak', '', 'kalo', 'uu', 'delik', 'adu', '', 'uu', 'jalan', 'ehh', 'lo', 'bilang', 'otoriter', 'dongok', '']",boss  ga ngomong yg ente ga kuasain  sori bahasa ente bloon  bumn  data  anggur  ekonomi politik  pasal karet aja lo ga ngerti yg diterapin gak  kalo uu delik adu  uu jalan ehh lo bilang otoriter dongok 
positif,gw rakit sendiri kompi gw gw programmer gaji  digit gw main game sama seperti lainnya   gw gaptek dimnanya  gw dan keluarga sibuk bilangin ponakan gw yg selalu main game untuk stop  punya presiden malah ngasih alasan buat main game presiden apaan itu,"['gw', 'rakit', 'sendiri', 'kompi', 'gw', '.', 'gw', 'programmer', 'gaji', '2', 'digit', '.', 'gw', 'main', 'game', 'sama', 'seperti', 'lainnya', '.', 'gw', 'gaptek', 'dimnanya', '?', 'gw', 'dan', 'keluarga', 'sibuk', 'bilangin', 'ponakan', 'gw', 'yg', 'selalu', 'main', 'game', 'untuk', 'stop', '&', 'punya', 'presiden', 'malah', 'ngasih', 'alasan', 'buat', 'main', 'game', '?', 'presiden', 'apaan', 'itu', '?']","['gw', 'rakit', 'kompi', 'gw', '.', 'gw', 'programmer', 'gaji', '2', 'digit', '.', 'gw', 'main', 'game', '.', 'gw', 'gaptek', 'dimnanya', '?', 'gw', 'keluarga', 'sibuk', 'bilangin', 'ponakan', 'gw', 'yg', 'main', 'game', 'stop', '&', 'presiden', 'ngasih', 'alasan', 'main', 'game', '?', 'presiden', '?']","['gw', 'rakit', 'kompi', 'gw', '', 'gw', 'programmer', 'gaji', '2', 'digit', '', 'gw', 'main', 'game', '', 'gw', 'gaptek', 'dimnanya', '', 'gw', 'keluarga', 'sibuk', 'bilangin', 'ponakan', 'gw', 'yg', 'main', 'game', 'stop', '', 'presiden', 'ngasih', 'alas', 'main', 'game', '', 'presiden', '']",gw rakit kompi gw  gw programmer gaji 2 digit  gw main game  gw gaptek dimnanya  gw keluarga sibuk bilangin ponakan gw yg main game stop  presiden ngasih alas main game  presiden 
netral,masa tenang pemilu debat terbuka jokowi atau prabowo dilarang disiarkan kembali  warta ekonomi  ,"['masa', 'tenang', 'pemilu', ',', 'debat', 'terbuka', 'jokowi', 'atau', 'prabowo', 'dilarang', 'disiarkan', 'kembali', '-', 'warta', 'ekonomi', 'https://www.wartaekonomi.co.id/read223686/masa-tenang-pemilu-debat-terbuka-jokowi-atau-prabowo-dilarang-disiarkan-kembali.htmlâ', 'â', '€', '¦']","['tenang', 'pemilu', ',', 'debat', 'terbuka', 'jokowi', 'prabowo', 'dilarang', 'disiarkan', '-', 'warta', 'ekonomi', 'https://www.wartaekonomi.co.id/read223686/masa-tenang-pemilu-debat-terbuka-jokowi-atau-prabowo-dilarang-disiarkan-kembali.htmlâ', 'â', '€', '¦']","['tenang', 'milu', '', 'debat', 'buka', 'jokowi', 'prabowo', 'larang', 'siar', '-', 'warta', 'ekonomi', 'https www wartaekonomi co id read223686 masa-tenang-pemilu-debat-terbuka-jokowi-atau-prabowo-dilarang-disiarkan-kembali html', '', '', '']",tenang milu  debat buka jokowi prabowo larang siar - warta ekonomi https www wartaekonomi co id read223686 masa-tenang-pemilu-debat-terbuka-jokowi-atau-prabowo-dilarang-disiarkan-kembali html   
positif,ketika  debat penutupan terakhir    komitemen untuk tidak ambil gaji serupiah pun jika kami dapat amanah ini   jatimmantappilihprabowo jatimmantappilihprabowo   ,"['ketika', 'debat', 'penutupan', 'terakhir', '@sandiuno', '@prabowo', 'komitemen', 'untuk', 'tidak', 'ambil', 'gaji', 'serupiah', 'pun', 'jika', 'kami', 'dapat', 'amanah', 'ini', '.', '#jatimmantappilihprabowo', '#jatimmantappilihprabowo', 'https://m.detik.com/news/berita/4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gajiâ', 'â', '€', '¦', 'https://m.detik.com/news/berita/4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gajiâ', 'â', '€', '¦']","['debat', 'penutupan', '@sandiuno', '@prabowo', 'komitemen', 'ambil', 'gaji', 'serupiah', 'amanah', '.', '#jatimmantappilihprabowo', '#jatimmantappilihprabowo', 'https://m.detik.com/news/berita/4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gajiâ', 'â', '€', '¦', 'https://m.detik.com/news/berita/4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gajiâ', 'â', '€', '¦']","['debat', 'tutup', 'sandiuno', 'prabowo', 'komitemen', 'ambil', 'gaji', 'rupiah', 'amanah', '', 'jatimmantappilihprabowo', 'jatimmantappilihprabowo', 'https m detik com news berita 4509616 jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji', '', '', '', 'https m detik com news berita 4509616 jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji', '', '', '']",debat tutup sandiuno prabowo komitemen ambil gaji rupiah amanah  jatimmantappilihprabowo jatimmantappilihprabowo https m detik com news berita 4509616 jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji    https m detik com news berita 4509616 jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gaji   
positif,dg bangga membangkitkan kembali usaha ekonomi kerakyatan gerakanbisakerja gerakanhargamurah  dialog wirausaha bersama  bang   mak  ketum penggerak pepes okoce di kampung islam kepaon titik ke       pepesbali pictwittercomykszfjnpps,"['dg', 'bangga', ',', 'membangkitkan', 'kembali', 'usaha', 'ekonomi', 'kerakyatan', ',', '#gerakanbisakerja', '#gerakanhargamurah', 'dialog', 'wirausaha', 'bersama', ':', 'bang', '@indrauno', '&', 'mak', '@swullll', '(', 'ketum', 'penggerak', 'pepes', 'okoce', ')', 'di', 'kampung', 'islam', 'kepaon', 'titik', 'ke', '5', '@pepesofficial', '@prabowo', '@sandiuno', '@nurasiauno', '#pepesbali', 'pic.twitter.com/ykszfjnpps']","['dg', 'bangga', ',', 'membangkitkan', 'usaha', 'ekonomi', 'kerakyatan', ',', '#gerakanbisakerja', '#gerakanhargamurah', 'dialog', 'wirausaha', ':', 'bang', '@indrauno', '&', 'mak', '@swullll', '(', 'ketum', 'penggerak', 'pepes', 'okoce', ')', 'kampung', 'islam', 'kepaon', 'titik', '5', '@pepesofficial', '@prabowo', '@sandiuno', '@nurasiauno', '#pepesbali', 'pic.twitter.com/ykszfjnpps']","['dg', 'bangga', '', 'bangkit', 'usaha', 'ekonomi', 'rakyat', '', 'gerakanbisakerja', 'gerakanhargamurah', 'dialog', 'wirausaha', '', 'bang', 'indrauno', '', 'mak', 'swullll', '', 'tum', 'gerak', 'pepes', 'okoce', '', 'kampung', 'islam', 'kepaon', 'titik', '5', 'pepesofficial', 'prabowo', 'sandiuno', 'nurasiauno', 'pepesbali', 'pic twitter com ykszfjnpps']",dg bangga  bangkit usaha ekonomi rakyat  gerakanbisakerja gerakanhargamurah dialog wirausaha  bang indrauno  mak swullll  tum gerak pepes okoce  kampung islam kepaon titik 5 pepesofficial prabowo sandiuno nurasiauno pepesbali pic twitter com ykszfjnpps
